PAGE | STATUS | useApi | mock | stub
-----|--------|-------|------|-----
agenda\direcao | STATIC | N | N | N
agenda\letivo | STATIC | N | N | N
agenda\lideres | STATIC | N | N | N
agenda\recursos | STATIC | N | N | N
agenda\total | STATIC | N | N | N
ai\analises | STATIC | N | N | N
ai\chat | STATIC | N | N | N
ai\geradores | STATIC | N | N | N
ai\uso | STATIC | N | N | N
comunicacao\comunicador | STATIC | N | N | N
comunicacao\enviados | STATIC | N | N | N
comunicacao\rascunhos | STATIC | N | N | N
comunicacoes | STATIC | N | N | N
comunicacoes\mensagens | STATIC | N | N | N
configuracoes\api-keys | STATIC | N | N | N
configuracoes\auditoria | STATIC | N | N | N
configuracoes\branding | STATIC | N | N | N
contabil\balanco | STATIC | N | N | N
contabil\documentos | STATIC | N | N | N
kaizen\pesquisas | STATIC | N | N | N
kaizen\quadro | STATIC | N | N | N
kaizen\retrospectivas | STATIC | N | N | N
page.tsx | STATIC | N | N | N
perfil | STATIC | N | N | N
preferencias | STATIC | N | N | N
relatorios\comercial | STATIC | N | N | N
relatorios\financeiro | STATIC | N | N | N
relatorios\pedagogico | STATIC | N | N | N
relatorios\rh | STATIC | N | N | N
rh\comissoes | STATIC | N | N | N
rh\contratos | STATIC | N | N | N
rh\metas | STATIC | N | N | N
rh\organograma | STATIC | N | N | N
rh\treinamentos | STATIC | N | N | N
suporte | STATIC | N | N | N
suporte\tickets | STATIC | N | N | N
suporte\tickets\[id] | STATIC | N | N | N
agenda | WIRED | Y | N | N
agenda\calendario | WIRED | Y | N | N
agenda\pessoal | WIRED | Y | N | N
agenda\salas | WIRED | Y | N | N
agenda\time | WIRED | Y | N | N
ai | WIRED | Y | N | N
ai\automacoes | WIRED | Y | N | N
ai\insights | WIRED | Y | N | N
comercial | WIRED | Y | N | N
comercial\clientes | WIRED | Y | N | N
comercial\desempenho | WIRED | Y | N | N
comercial\followups | WIRED | Y | N | N
comercial\metas | WIRED | Y | N | N
comercial\negociacoes | WIRED | Y | N | N
comercial\oportunidades | WIRED | Y | N | N
comercial\pipeline | WIRED | Y | N | N
comercial\propostas | WIRED | Y | N | N
comunicacao | WIRED | Y | N | N
comunicacao\automacoes | WIRED | Y | N | N
comunicacao\avisos | WIRED | Y | N | N
comunicacao\inbox | WIRED | Y | N | N
comunicacao\templates | WIRED | Y | N | N
comunicacao\whatsapp | WIRED | Y | N | N
configuracoes | WIRED | Y | N | N
configuracoes\backup | WIRED | Y | N | N
configuracoes\cargos | WIRED | Y | N | N
configuracoes\escola | WIRED | Y | N | N
configuracoes\integracoes | WIRED | Y | N | N
configuracoes\notificacoes | WIRED | Y | N | N
configuracoes\permissoes | WIRED | Y | N | N
configuracoes\roles | WIRED | Y | N | N
